uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph,average internal vertex degree in cluster graph,average external vertex degree in cluster graph
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,18,0.4106884018643619,0.20346858759424472,0.2573422404674057,0.11954110965899786,17,13,61,13,45,5.352941176470588,4.384615384615385
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,19,0.3540388030546606,0.16505219353990938,0.2808098448835382,0.11852536228313913,16,13,58,13,43,5.3125,4.384615384615385
817546DC-1A01-4DC4-B176-5088422D0881,25,0.25,0.0,20,0.41983444100593115,0.19502714444523542,0.28655749367530725,0.11709439672450095,17,12,60,12,44,5.352941176470588,4.416666666666667
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,0,0.8704535681185178,0.23814197674685744,0.22651109626347266,0.11438331302811347,16,9,54,9,39,5.3125,4.555555555555555
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,1,0.495658088339058,0.18597234092102924,0.27345109178726895,0.11375165055506546,17,8,56,8,40,5.235294117647059,4.875
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,2,0.45459744301774657,0.18052891093171,0.22562260225560238,0.10974983787291982,16,8,53,8,38,5.25,4.75
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,3,0.3025093576192783,0.15113325448399162,0.20970361404626214,0.11573415562021316,17,7,55,7,39,5.235294117647059,5.0
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,4,0.2932788006632527,0.14400222157661693,0.21508110607822084,0.11399757896273822,16,8,53,8,38,5.1875,4.875
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,5,0.3563427197820638,0.14394719828063487,0.27630264504037616,0.12211499925885978,17,7,55,7,39,5.235294117647059,5.0
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,6,0.3698555297392221,0.16213525887584987,0.2616745244727419,0.12217806124694713,16,8,53,8,38,5.1875,4.875
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,7,0.3803188731951525,0.16722658980943264,0.2566846660901601,0.11912560331815934,15,9,51,9,37,5.133333333333334,4.777777777777778
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,8,0.38134388702962146,0.17574316496267348,0.2426341210456793,0.12334732293124213,16,9,54,9,39,5.1875,4.777777777777778
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,9,0.3667937980304568,0.17957128088165117,0.24513262511319078,0.1223864704897367,16,10,55,10,40,5.1875,4.7
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,10,0.36495609655196565,0.18408081417630978,0.2276875210655194,0.12494492288070638,16,10,55,10,40,5.1875,4.7
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,11,0.3495498160317993,0.18606526738707874,0.242776337580511,0.12592117467014274,15,10,52,10,38,5.266666666666667,4.5
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,12,0.4305452675831636,0.17087834992981732,0.24342659294881885,0.1304500073135283,16,10,55,10,40,5.25,4.6
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,13,0.388636241547322,0.1896158285952027,0.23259328566247534,0.13146548997731877,16,10,55,10,40,5.25,4.6
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,14,0.3990932250878696,0.17463923274751417,0.240598586638118,0.1240787156643968,16,10,55,10,40,5.3125,4.5
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,15,0.38344826893727996,0.16270505052203504,0.2550407954465904,0.12518379110307587,16,9,54,9,39,5.3125,4.555555555555555
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,16,0.4380564592464002,0.15280602400353824,0.23086097795809607,0.12614678897607687,16,8,53,8,38,5.3125,4.625
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,17,0.504052961023106,0.145678589830458,0.23781153683105594,0.12742727471986234,17,8,56,8,40,5.235294117647059,4.875
19B63E48-975D-4E5F-88C1-3E3B733A5573,25,0.25,0.0,18,0.4089364754135722,0.14796957093339486,0.25004880412388586,0.1258329727621289,17,9,57,9,41,5.235294117647059,4.777777777777778
